Nr,Nr per journal,Journal,Year,Volume,Issue,Title,Study,Design,Within or Between?,Empirical?,N,N unequivocal?,Power analysis conducted?,Include study?
1,1,IJSP,2022,53,1,Safe space or high stakes environments: comparing self-compassion in differing sport contexts in canada,1,3,,1,146,1,1,1
2,2,IJSP,2022,53,1,"Examining mental health literacy, depressive symptoms, help seeking behaviors, and wellbeing in soccer match officials in the UK",1,3,,1,313,1,0,1
3,3,IJSP,2022,53,1,Sport engagement and life satisfaction in Czech parasport athletes,1,3,,1,40,1,1,1
4,4,IJSP,2022,53,1,Perturbations created from the baseline in tennis: a test of barker’s behaviour setting theory,1,3,,1,80,1,0,1
5,5,IJSP,2022,53,1,“Who made it to the pros?” A 5-year longitudinal study on the role of achievement motivation in football,1,3,,1,92,1,0,1
6,6,IJSP,2022,53,1,Multiple mediation effects of peer relationship and social withdrawal in relationship between self-esteem and multicultural acceptance in multicultural youth participating in physical activity,1,3,,1,192,1,0,1
7,7,IJSP,2022,53,2,Understanding Sport Expertise through a Cultural Perspective: An Exploratory Study,1,,,1,10,1,,0
8,8,IJSP,2022,53,2,A Cross-Cultural Comparison of College Students’ Physical Activity in Korea and Malaysia using the Transtheoretical Model,1,3,,1,1136,1,0,1
9,9,IJSP,2022,53,2,The moderating role of narcissism on the reciprocal relationship between social loafing and endurance performance,1,2,,1,66,1,1,1
10,10,IJSP,2022,53,2,Selective effects of 8 weeks of high-intensity circuit training on inhibitory control in adult women,1,1,2,1,67,1,1,1
11,11,IJSP,2022,53,2,Motivation gain in Major League Baseball: Köhler effect vs. social compensation,1,,,1,7056,1,,0
12,12,IJSP,2022,53,3,The effect of different schedules of action observation training and motor imagery training on the changes in mental representation structure and skill performance,1,1,2,1,40,1,0,1
13,13,IJSP,2022,53,3,An investigation of the talent development pathway in Scottish female football,1,,,1,10,1,,0
14,14,IJSP,2022,53,3,Utilising experiential knowledge of elite match officials: Recommendations to improve practice design for football referees,1,,,1,3,1,,0
15,15,IJSP,2022,53,3,The influence of emotional state on perceptual anticipation of tennis players in Stalemate Stage,1,1,2,1,50,1,0,1
16,16,IJSP,2022,53,3,A case study of psychological empowerment of three children with Autism Spectrum Disorder (ASD) through football coaching,1,,,1,3,1,,0
17,17,IJSP,2022,53,4,Comparing the effects of goal type on performance and psychological outcomes in physical activity,1,1,2,1,28,1,1,1
18,18,IJSP,2022,53,4,Validation of a dutch measure for implicit theories of ability in sport (CNAAQ-2-NL),1,,,1,741,1,,0
19,19,IJSP,2022,53,4,Validation of a dutch measure for implicit theories of ability in sport (CNAAQ-2-NL),2,,,1,510,1,,0
20,20,IJSP,2022,53,4,Validation of a dutch measure for implicit theories of ability in sport (CNAAQ-2-NL),3,,,1,322,1,,0
21,21,IJSP,2022,53,4,The impacts of legitimacy appraisal of defeat on supporters’ identity management strategies: Testing the role of emotions,1,1,3,1,58,1,0,1
22,22,IJSP,2022,53,4,"Multilevel Analysis of Coach Leadership, Group Cohesion and Collective Efficacy in Semiprofessional Football Teams",1,3,,1,377,1,0,1
23,23,IJSP,2022,53,5,An examination of the flow mechanisms and aspects of athletes in sports: an application of the flow engine framework,1,,,1,18,1,,0
24,24,IJSP,2022,53,5,Third-Generation Quantitative Assessment of Athletic Identity: Clarifying the Concept,1,,,1,408,1,,0
25,25,IJSP,2022,53,5,Third-Generation Quantitative Assessment of Athletic Identity: Clarifying the Concept,2,,,1,350,1,,0
26,26,IJSP,2022,53,5,Third-Generation Quantitative Assessment of Athletic Identity: Clarifying the Concept,3,,,1,54,1,,0
27,27,IJSP,2022,53,5,Student-athlete health and well-being: looking at the past to inform the future,1,3,,1,109,1,0,1
28,28,IJSP,2022,53,5,Temporal and bidirectional associations between physical activity and sleep in adolescents,1,3,,1,236,1,0,1
29,29,IJSP,2022,53,5,Effects of sleep quality on internal-external anxiety in elite shooters before competitions,1,3,,1,76,1,0,1
30,30,IJSP,2022,53,6,Does an athlete’s anger differ by sport type and gender?,1,3,,1,156,1,0,1
31,31,IJSP,2022,53,6,The tactical mindset of football players: Choosing effective training strategies for Top-Notch Performance,1,1,2,1,316,1,0,1
32,32,IJSP,2022,53,6,Effect of exercise interventions on the depression of older adults. A meta-analysis,1,,,1,,,,0
33,33,IJSP,2022,53,6,Involving athletes and other internal stakeholders in organizational change in sports clubs: The crucial role of autonomy support,1,3,,1,144,1,0,1
34,34,IJSP,2022,53,6,Positional competition and prosocial and antisocial behavior in college athletes,1,3,,1,208,1,0,1
35,35,IJSP,2023,54,1,Adaptation and validity of the Sports Injury Anxiety Scale in Chinese collegiate athletes,1,,,1,630,1,0,0
36,36,IJSP,2023,54,1,Analysis of the influence of sports practice on prosocial and antisocial behaviour in a contemporary Spanish adolescent population,1,3,,1,374,1,0,1
37,37,IJSP,2023,54,1,The quality of the coach-athlete relationship predicts objective performance in elite cricket,1,3,,1,53,1,0,1
38,38,IJSP,2023,54,1,Moderate Physical Activity as a Predicator of Emotional Well-being and Motivation Towards Physical Activity in Older Spanish Adults,1,3,,1,139,1,0,1
39,39,IJSP,2023,54,1,The Breadth of Mental Ill-Health Stigma Research in Sport: A Scoping Review,1,,,0,,,,0
40,40,IJSP,2023,54,2,Limits of Sports Ethics and Sports Competition: The Matter of Sports Humanity,1,3,,1,128,1,0,1
41,41,IJSP,2023,54,2,Using NBA Star Players Rather than relying on One Star: A multi-level Study on the Work Goal Achievements of organizations and individuals,1,,,1,,,1,0
42,42,IJSP,2023,54,2,Acute Effect of Skill Random Practice Versus Cardiovascular Exercise on Motor Learning of a Golf Putting Task,1,1,2,1,24,1,0,1
43,43,IJSP,2023,54,2,Physical exercise in natural environments and its influence on directed attention. Education implication. A systematic review,1,,,1,,,,0
44,44,IJSP,2023,54,2,Negative emotion and disordered eating among UK athletes during the COVID-19 pandemic,1,3,,1,478,1,0,1
45,45,IJSP,2023,54,3,Need satisfaction and Sport motivation predict selection in a competitive Youth Soccer Team over and above the relative age effect,1,3,,1,67,1,1,1
46,46,IJSP,2023,54,3,An investigation of basic needs satisfaction as a mediator of the associations between coach autonomy support and participant’s life skills development in sport,1,3,,1,817,1,0,1
47,47,IJSP,2023,54,3,Exploring the relationship between goal orientation and perceived performance emphasizing the mediating effect of training flow and moderating effect of coaches’ social support among elite taekwondo student-athletes,1,3,,1,303,1,0,1
48,48,IJSP,2023,54,3,Perceptual training in Beach-Volleyball defence: no beneficial effects of colour-cue interventions,1,1,2,1,42,1,1,1
49,49,IJSP,2023,54,3,Perceptual training in Beach-Volleyball defence: no beneficial effects of colour-cue interventions,2,1,2,1,52,1,1,1
50,50,IJSP,2023,54,3,"The Role of Sport Confidence, Imagery Use and social Sport confidence and performance in adolescent athletes",1,3,,1,519,1,0,1
51,51,IJSP,2023,54,4,The relationship between amount and timing of visual exploratory activity and performance of elite soccer players,1,3,,1,72,1,1,1
52,52,IJSP,2023,54,4,Athlete experiences of mental health disclosure and help seeking behaviour in amateur and professional basketball,1,,,1,6,1,,0
53,53,IJSP,2023,54,4,Effect of presentation order and misinformation on anticipation skills in expert soccer players,1,1,2,1,40,1,0,1
54,54,IJSP,2023,54,4,Asset Specificity Perspective: An Alternative Explanation of Sports Fans’ Loyalty and Behavioral Intention,1,3,,1,380,1,0,1
55,55,IJSP,2023,54,4,The impact of training environment on Tokyo Olympic athletes’ wellbeing: a qualitative multiple case study,1,,,1,6,1,,0
56,56,IJSP,2023,54,5,The role of Football in Enhancing psychosocial skills in Youth with Autism spectrum disorder,1,4,,1,90,1,0,0
57,57,IJSP,2023,54,5,Vienna Test System measures failed to predict goal and passing efficiency during international water polo matches in world-class-level youth water polo players,1,3,,1,36,1,0,1
58,58,IJSP,2023,54,5,The effects of Video Modeling on Children’s Self-Regulation in Physical Education,1,1,3,1,45,1,1,1
59,59,IJSP,2023,54,5,Relative age effects are (mostly) absent among Canadian Olympic athletes,1,,,1,1461,1,,0
60,60,IJSP,2023,54,5,"Resilience, optimism, and burnout in high-performance youth athletes",1,3,,1,308,1,0,1
61,61,IJSP,2023,54,6,Health Evaluation Index of Basketball in modern sports,1,,,1,,,,0
62,62,IJSP,2023,54,6,What to do after fame? Career aspirations and expectations of high-performance female athletes,1,3,,1,243,1,0,1
63,63,IJSP,2023,54,6,The effects of Virtual Nature Exposure on Cognitive Fatigue Recovery and subsequent push-up performance,1,1,1,1,14,1,0,1
64,64,IJSP,2023,54,6,Spanish University students’ barriers to practising physical activity and sports according to their social characteristics and gender,1,3,,1,3060,1,0,1
65,65,IJSP,2023,54,6,Effect of Teaching Interventions on Metacognitive Skills in Physical Education,1,,,1,,,,0
66,1,JASP,2022,34,1,“The forgotten session”: Advancing research and practice concerning the psychology of rest in athletes,1,,,0,,,,0
67,2,JASP,2022,34,1,Intercollegiate perfectionistic athletes’ perspectives on success and failure in sport,1,3,,1,122,0,0,0
68,3,JASP,2022,34,1,Investigating the process through which National Hockey League Player Development Coaches ‘develop’ athletes: An exploratory qualitative analysis,1,,,1,8,1,,0
69,4,JASP,2022,34,1,Exploring sport stakeholders’ interpretations of the term dropout from youth sport,1,,,1,32,1,,0
70,5,JASP,2022,34,1,Home away from home: An examination of the billet family experience in junior ice hockey,1,,,1,21,1,,0
